,Unnamed: 0,Time,Open,High,Low,Close,Volume,status
6875,6875,2021-10-05 04:00:00,49115.7,49895.4,49093.5,49946.6,8,1.0
6876,6876,2021-10-05 08:00:00,49869.3,50302.7,49582.7,50063.6,8,1.0
6877,6877,2021-10-05 12:00:00,49946.8,50305.6,49555.5,51406.7,8,1.0
6878,6878,2021-10-05 16:00:00,50063.6,51716.0,49923.1,51284.0,8,1.0
6879,6879,2021-10-05 20:00:00,51436.5,51836.0,51166.2,51278.4,8,-1.0
6880,6880,2021-10-06 00:00:00,51284.4,51560.2,50881.8,50647.6,8,-1.0
6881,6881,2021-10-06 04:00:00,51278.4,51761.5,50407.6,52701.7,8,1.0
6882,6882,2021-10-06 08:00:00,50648.6,52782.1,50362.5,54838.8,8,1.0
6883,6883,2021-10-06 12:00:00,52700.4,55373.8,52592.0,54871.9,8,1.0
6884,6884,2021-10-06 16:00:00,54838.2,55326.1,54460.8,54756.0,8,-1.0
6885,6885,2021-10-06 20:00:00,54869.9,55691.8,54481.1,55020.7,8,1.0
6886,6886,2021-10-07 00:00:00,54755.8,55172.7,54086.2,54490.9,8,-1.0
6887,6887,2021-10-07 04:00:00,55020.3,55022.0,54228.2,53943.8,8,-1.0
6888,6888,2021-10-07 08:00:00,54490.9,54494.7,53619.4,54104.4,8,-1.0
6889,6889,2021-10-07 12:00:00,53943.8,54642.5,53353.5,54119.6,8,1.0
6890,6890,2021-10-07 16:00:00,54105.1,54281.3,53791.1,54080.9,8,-1.0
6891,6891,2021-10-07 20:00:00,54119.8,54624.0,53575.2,53824.8,8,-1.0
6892,6892,2021-10-08 00:00:00,54079.8,54371.1,53656.3,55760.4,8,1.0
6893,6893,2021-10-08 04:00:00,53827.6,56031.7,53590.8,54792.4,8,1.0
6894,6894,2021-10-08 08:00:00,55760.4,55833.0,54468.6,54246.4,8,-1.0
6895,6895,2021-10-08 12:00:00,54792.4,54861.6,53991.2,53935.0,8,-1.0
6896,6896,2021-10-08 16:00:00,54248.0,54704.9,53740.4,54108.9,8,-1.0
6897,6897,2021-10-08 20:00:00,53931.5,54248.6,53823.4,55091.8,2,1.0
6898,6898,2021-10-10 20:00:00,55330.2,55361.4,54347.4,56405.9,8,1.0
6899,6899,2021-10-11 00:00:00,55098.8,56676.7,55042.9,56510.3,8,1.0
6900,6900,2021-10-11 04:00:00,56405.2,56955.3,56113.4,56425.5,8,1.0
6901,6901,2021-10-11 08:00:00,56513.9,56701.0,55834.9,57226.7,8,1.0
6902,6902,2021-10-11 12:00:00,56425.5,57699.9,56414.6,57283.5,8,1.0
6903,6903,2021-10-11 16:00:00,57225.7,57763.2,56745.6,56878.3,8,-1.0
6904,6904,2021-10-11 20:00:00,57275.6,57448.9,56572.5,56929.7,8,-1.0
6905,6905,2021-10-12 00:00:00,56878.5,57111.5,56378.7,57410.4,8,1.0
6906,6906,2021-10-12 04:00:00,56929.1,57594.2,56552.5,56832.0,8,-1.0
6907,6907,2021-10-12 08:00:00,57410.4,57447.0,56641.7,55835.8,8,-1.0
6908,6908,2021-10-12 12:00:00,56831.7,57393.5,55755.7,55305.5,8,-1.0
6909,6909,2021-10-12 16:00:00,55835.8,55976.5,53916.6,56408.6,8,1.0
