,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Time,Open,High,Low,Close,Volume
294,294,7854,7854,2022-05-13 20:00:00,29689,29964,29600,29932,2
295,295,6080,6080,2021-04-07 20:00:00,56175,56510,55674,56371,8
296,296,7762,7762,2022-04-24 20:00:00,39456,39784,38663,38817,8
297,297,5834,5834,2021-02-11 04:00:00,44733,45127,44422,45045,8
298,298,3894,3894,2019-11-18 20:00:00,8143,8168,8104,8111,93
299,299,1152,1152,2018-02-19 16:00:00,11014,11167,10858,11166,170
300,300,6655,6655,2021-08-16 16:00:00,46403,46616,45638,46013,8
301,301,6998,6998,2021-11-02 00:00:00,60927,61531,60738,61402,8
302,302,155,155,2017-06-28 08:00:00,2490,2547,2485,2543,343
303,303,19,19,2017-05-26 00:00:00,2473,2523,2340,2467,644
304,304,4518,4518,2020-04-14 12:00:00,6801,6913,6799,6907,226
305,305,4521,4521,2020-04-15 00:00:00,6786,6883,6777,6843,104
306,306,6178,6178,2021-04-29 16:00:00,52959,53290,52360,52936,8
307,307,2875,2875,2019-03-26 00:00:00,3852,3871,3851,3856,8
308,308,1386,1386,2018-04-13 04:00:00,7745,8117,7694,8058,387
309,309,5483,5483,2020-11-23 12:00:00,18617,18703,18137,18375,8
310,310,1812,1812,2018-07-23 04:00:00,7614,7721,7570,7649,289
311,311,1382,1382,2018-04-12 12:00:00,7629,7661,7498,7552,309
312,312,6484,6484,2021-07-08 00:00:00,33191,33423,33046,33276,8
313,313,4123,4123,2020-01-13 16:00:00,8043,8099,8028,8096,58
314,314,2583,2583,2019-01-17 16:00:00,3544,3583,3537,3568,8
315,315,4326,4326,2020-02-28 12:00:00,8456,8670,8431,8583,132
316,316,6439,6439,2021-06-28 16:00:00,34607,34749,33952,34637,8
317,317,1603,1603,2018-06-04 08:00:00,7534,7553,7423,7463,180
318,318,7444,7444,2022-02-10 08:00:00,44250,45186,44088,44830,8
319,319,6060,6060,2021-04-02 16:00:00,59204,59235,58532,58626,8
320,320,6037,6037,2021-03-29 20:00:00,57192,57855,57155,57496,8
321,321,2210,2210,2018-10-23 12:00:00,6330,6336,6321,6333,8
322,322,2474,2474,2018-12-21 12:00:00,3974,4013,3864,3880,8
323,323,3649,3649,2019-09-23 00:00:00,9936,9947,9883,9918,71
324,324,7107,7107,2021-11-25 16:00:00,58978,59246,58689,58848,8
325,325,4434,4434,2020-03-25 12:00:00,6552,6769,6475,6624,231
326,326,7509,7509,2022-02-24 20:00:00,38347,38728,37734,38199,8
327,327,1613,1613,2018-06-06 00:00:00,7545,7571,7529,7530,133
328,328,6448,6448,2021-06-30 04:00:00,34715,35286,34514,34561,8
329,329,5798,5798,2021-02-03 08:00:00,36047,36339,35565,36225,8
330,330,6830,6830,2021-09-24 00:00:00,44612,44737,43996,44216,8
331,331,4462,4462,2020-04-01 04:00:00,6295,6298,6229,6263,171
